code,date,open,high,close,low
000636,2017-09-29,9.353,9.492,9.423,9.343
000636,2017-10-09,9.522,9.771,9.681,9.512
000636,2017-10-10,9.652,9.791,9.771,9.562
000636,2017-10-11,9.791,9.851,9.691,9.662
000636,2017-10-12,9.662,9.731,9.463,9.353
000636,2017-10-13,9.482,9.671,9.632,9.403
000636,2017-10-16,9.652,9.652,9.174,9.114
000636,2017-10-17,9.184,9.254,9.164,9.074
000636,2017-10-18,9.154,9.204,8.935,8.856
000636,2017-10-19,8.935,8.975,8.746,8.507
000636,2017-10-20,8.766,8.866,8.846,8.657
000636,2017-10-23,8.816,8.915,8.856,8.786
000636,2017-10-24,8.866,9.025,8.935,8.816
000636,2017-10-25,8.945,8.995,8.965,8.816
000636,2017-10-26,9.015,9.015,8.975,8.875
000636,2017-10-27,8.955,9.074,8.915,8.875
000636,2017-10-30,8.885,8.995,8.826,8.617
000636,2017-10-31,8.786,9.204,9.114,8.786
000636,2017-11-01,9.134,9.273,9.164,9.064
000636,2017-11-02,9.154,9.453,9.313,9.144
000636,2017-11-03,9.313,9.453,9.403,9.273
000636,2017-11-06,9.423,9.671,9.622,9.333
000636,2017-11-07,9.552,10.159,10.05,9.552
000636,2017-11-08,10.348,10.945,10.567,10.288
000636,2017-11-09,10.726,11.124,10.726,10.557
000636,2017-11-10,10.726,11.602,11.204,10.726
000636,2017-11-13,11.244,11.333,11.273,11.025
000636,2017-11-14,11.293,11.86,11.542,11.293
000636,2017-11-15,11.642,11.88,11.741,11.373
000636,2017-11-16,11.851,12.04,11.622,11.472
000636,2017-11-17,11.652,11.791,11.204,11.054
000636,2017-11-20,11.313,12.328,12.328,10.895
000636,2017-11-21,12.497,12.656,12.577,12.01
000636,2017-11-22,12.388,12.467,12.129,11.711
000636,2017-11-23,11.97,12.308,11.9,11.622
000636,2017-11-24,11.741,12.089,11.343,11.054
000636,2017-11-27,11.303,12.477,12.229,11.303
000636,2017-11-28,12.288,12.597,12.547,11.94
000636,2017-11-29,12.467,12.985,12.328,12.169
000636,2017-11-30,12.139,13.562,13.164,12.059
000636,2017-12-01,13.244,14.01,13.582,13.015
000636,2017-12-04,13.661,14.199,13.701,13.333
000636,2017-12-05,13.433,13.592,12.438,12.328
000636,2017-12-06,12.388,13.025,13.005,12.139
000636,2017-12-07,12.826,12.905,11.94,11.94
000636,2017-12-08,11.94,12.328,12.109,11.642
000636,2017-12-11,11.99,12.268,12.239,11.88
000636,2017-12-12,12.099,12.587,12.119,12.01
000636,2017-12-13,12.059,12.527,12.487,11.91
000636,2017-12-14,12.398,12.507,12.338,12.089
000636,2017-12-15,12.239,12.298,11.184,11.104
000636,2017-12-18,11.174,11.353,11.293,10.816
000636,2017-12-19,11.383,11.522,11.244,11.045
000636,2017-12-20,11.104,11.393,11.045,10.995
000636,2017-12-21,11.154,11.502,11.353,11.015
000636,2017-12-22,11.273,11.423,11.313,11.164
000636,2017-12-25,11.244,11.343,10.975,10.816
000636,2017-12-26,10.955,11.632,11.512,10.686
000636,2017-12-27,11.492,11.671,11.393,11.373
000636,2017-12-28,11.373,11.582,11.333,11.174
000636,2017-12-29,11.303,11.98,11.821,11.244
000636,2018-01-02,12.04,12.378,12.199,11.622
000636,2018-01-03,12.059,12.786,12.527,12.04
000636,2018-01-04,12.716,13.204,12.457,12.447
000636,2018-01-05,12.617,13.532,13.084,12.617
000636,2018-01-08,13.015,13.244,13.194,12.786
000636,2018-01-09,13.035,13.094,12.726,12.547
000636,2018-01-10,12.656,13.293,12.836,12.607
000636,2018-01-11,12.945,13.025,12.935,12.537
000636,2018-01-12,12.786,12.855,12.229,12.139
000636,2018-01-15,12.079,12.378,11.681,11.472
000636,2018-01-16,11.671,11.761,11.472,11.184
000636,2018-01-17,11.443,11.443,11.164,10.776
000636,2018-01-18,11.204,11.393,11.244,11.045
000636,2018-01-19,11.234,11.522,11.313,11.134
000636,2018-01-22,11.244,11.383,11.263,10.776
000636,2018-01-23,11.224,11.771,11.751,11.064
